Date;Close;Open;High;Low;Variation;
Aug 23, 2016;1.1306;1.1318;1.1357;1.1299;-0,11 %;
Aug 22, 2016;1.1319;1.1302;1.1334;1.1269;0,19 %;
Aug 21, 2016;1.1298;1.1310;1.1322;1.1295;-0,25 %;
Aug 19, 2016;1.1326;1.1350;1.1363;1.1302;-0,25 %;
Aug 18, 2016;1.1354;1.1291;1.1367;1.1281;0,58 %;
Aug 17, 2016;1.1288;1.1276;1.1318;1.1239;0,09 %;
Aug 16, 2016;1.1278;1.1180;1.1324;1.1173;0,84 %;
Aug 15, 2016;1.1184;1.1161;1.1203;1.1152;0,18 %;
Aug 14, 2016;1.1164;1.1169;1.1170;1.1157;0,03 %;
Aug 12, 2016;1.1161;1.1136;1.1224;1.1127;0,22 %;
Aug 11, 2016;1.1137;1.1173;1.1194;1.1131;-0,36 %;
Aug 10, 2016;1.1177;1.1115;1.1193;1.1100;0,52 %;
Aug 09, 2016;1.1119;1.1087;1.1124;1.1067;0,23 %;
Aug 08, 2016;1.1093;1.1085;1.1107;1.1070;0,05 %;
Aug 07, 2016;1.1087;1.1082;1.1094;1.1080;0,02 %;
Aug 05, 2016;1.1085;1.1127;1.1162;1.1043;-0,40 %;
Aug 04, 2016;1.1130;1.1147;1.1158;1.1112;-0,17 %;
Aug 03, 2016;1.1149;1.1222;1.1233;1.1137;-0,69 %;
Aug 02, 2016;1.1227;1.1160;1.1236;1.1153;0,58 %;
Aug 01, 2016;1.1162;1.1173;1.1186;1.1153;-0,04 %;
Jul 31, 2016;1.1167;1.1175;1.1184;1.1166;-0,06 %;
Jul 29, 2016;1.1174;1.1075;1.1200;1.1067;0,88 %;
Jul 28, 2016;1.1076;1.1056;1.1119;1.1047;0,16 %;
Jul 27, 2016;1.1058;1.0982;1.1067;1.0959;0,65 %;
Jul 26, 2016;1.0987;1.0995;1.1031;1.0976;-0,06 %;
Jul 25, 2016;1.0994;1.0968;1.1002;1.0950;0,23 %;
Jul 24, 2016;1.0969;1.0973;1.0977;1.0964;-0,06 %;
Jul 22, 2016;1.0976;1.1027;1.1042;1.0951;-0,44 %;
Jul 21, 2016;1.1025;1.1011;1.1060;1.0979;0,09 %;
Jul 20, 2016;1.1015;1.1018;1.1032;1.0979;-0,06 %;
Jul 19, 2016;1.1022;1.1072;1.1086;1.0998;-0,47 %;
Jul 18, 2016;1.1074;1.1040;1.1086;1.1035;0,16 %;
Jul 17, 2016;1.1056;1.1050;1.1061;1.1045;0,18 %;
Jul 15, 2016;1.1036;1.1116;1.1150;1.1021;-0,76 %;
Jul 14, 2016;1.1120;1.1087;1.1166;1.1083;0,27 %;
Jul 13, 2016;1.1090;1.1059;1.1121;1.1041;0,28 %;
Jul 12, 2016;1.1059;1.1056;1.1127;1.1048;0,01 %;
