Date;Close;Open;High;Low;Variation
Jul 06, 2016;101.33;101.72;101.78;100.18;-0,38 %
Jul 05, 2016;101.72;102.55;102.61;101.43;-0,82 %
Jul 04, 2016;102.56;102.51;102.81;102.40;0,03 %
Jul 01, 2016;102.53;103.25;103.41;102.40;-0,74 %
Jun 30, 2016;103.29;102.80;103.33;102.32;0,45 %
Jun 29, 2016;102.83;102.75;102.95;102.15;0,07 %
Jun 28, 2016;102.76;101.98;102.85;101.52;0,75 %
Jun 27, 2016;102.00;102.09;102.47;101.37;-0,22 %
Jun 24, 2016;102.23;106.13;106.85;99.08;-3,70 %
Jun 23, 2016;106.16;104.39;106.19;104.09;1,68 %
Jun 22, 2016;104.41;104.73;104.86;104.29;-0,32 %
Jun 21, 2016;104.75;103.93;105.06;103.57;0,78 %
Jun 20, 2016;103.94;104.33;104.86;103.76;-0,17 %
Jun 17, 2016;104.12;104.25;104.84;104.07;-0,12 %
Jun 16, 2016;104.25;106.00;106.03;103.58;-1,67 %
Jun 15, 2016;106.02;106.10;106.39;105.46;-0,08 %
Jun 14, 2016;106.11;106.25;106.42;105.60;-0,13 %
Jun 13, 2016;106.25;106.90;106.92;105.72;-0,68 %
Jun 10, 2016;106.98;107.06;107.28;106.53;-0,10 %
Jun 09, 2016;107.09;106.96;107.19;106.24;0,10 %
Jun 08, 2016;106.98;107.33;107.39;106.57;-0,35 %
Jun 07, 2016;107.36;107.55;107.92;107.14;-0,19 %
Jun 06, 2016;107.56;106.43;107.66;106.35;0,97 %
Jun 03, 2016;106.53;108.86;109.14;106.48;-2,14 %
Jun 02, 2016;108.86;109.52;109.59;108.49;-0,61 %
Jun 01, 2016;109.53;110.68;110.83;109.03;-1,07 %
May 31, 2016;110.71;111.10;111.37;110.48;-0,38 %
May 30, 2016;111.13;110.40;111.45;110.29;0,82 %
May 27, 2016;110.23;109.75;110.47;109.45;0,42 %
May 26, 2016;109.77;110.17;110.25;109.38;-0,38 %
May 25, 2016;110.19;109.98;110.47;109.84;0,18 %
May 24, 2016;109.99;109.22;110.12;109.14;0,70 %
May 23, 2016;109.23;110.08;110.25;109.08;-0,84 %
May 20, 2016;110.15;109.95;110.59;109.83;0,16 %
May 19, 2016;109.97;110.18;110.39;109.68;-0,20 %
May 18, 2016;110.19;109.12;110.27;108.70;0,96 %
May 17, 2016;109.14;109.01;109.66;108.82;0,10 %
May 16, 2016;109.03;108.55;109.11;108.43;0,39 %
May 13, 2016;108.61;109.00;109.50;108.50;-0,39 %
May 12, 2016;109.03;108.41;109.41;108.21;0,56 %
May 11, 2016;108.42;109.25;109.39;108.34;-0,78 %
May 10, 2016;109.27;108.33;109.36;108.24;0,87 %
May 09, 2016;108.33;107.10;108.61;107.00;1,13 %
May 06, 2016;107.12;107.25;107.44;106.43;-0,12 %
May 05, 2016;107.25;106.99;107.50;106.78;0,21 %
May 04, 2016;107.02;106.60;107.47;106.23;0,38 %
May 03, 2016;106.61;106.40;106.69;105.52;0,18 %
May 02, 2016;106.42;106.27;106.83;106.14;0,06 %
Apr 29, 2016;106.36;108.09;108.20;106.27;-1,62 %
Apr 28, 2016;108.11;111.47;111.92;107.84;-3,01 %
Apr 27, 2016;111.47;111.30;111.77;111.00;0,14 %
Apr 26, 2016;111.31;111.19;111.48;110.64;0,10 %
Apr 25, 2016;111.20;111.54;111.92;110.82;-0,53 %
Apr 22, 2016;111.79;109.45;111.82;109.24;2,14 %
Apr 21, 2016;109.45;109.86;109.91;109.29;-0,36 %
Apr 20, 2016;109.84;109.19;109.89;108.74;0,59 %
Apr 19, 2016;109.20;108.80;109.52;108.73;0,34 %
Apr 18, 2016;108.83;108.22;109.00;107.81;0,06 %
Apr 15, 2016;108.77;109.37;109.77;108.57;-0,58 %
Apr 14, 2016;109.40;109.33;109.57;108.88;0,05 %
Apr 13, 2016;109.34;108.53;109.41;108.48;0,73 %
Apr 12, 2016;108.55;107.93;108.80;107.84;0,57 %
Apr 11, 2016;107.94;108.05;108.44;107.61;-0,11 %
Apr 08, 2016;108.06;108.20;109.11;108.01;-0,15 %
Apr 07, 2016;108.22;109.78;109.86;107.67;-1,44 %
Apr 06, 2016;109.80;110.32;110.64;109.31;-0,48 %
Apr 05, 2016;110.33;111.32;111.36;109.94;-0,90 %
Apr 04, 2016;111.33;111.68;111.81;111.06;-0,30 %
Apr 01, 2016;111.67;112.56;112.59;111.56;-0,81 %
Mar 31, 2016;112.58;112.39;112.67;112.08;0,14 %
Mar 30, 2016;112.42;112.69;112.81;111.99;-0,24 %
Mar 29, 2016;112.69;113.42;113.81;112.58;-0,67 %
Mar 28, 2016;113.45;113.08;113.70;113.03;0,34 %
Mar 25, 2016;113.07;112.91;113.33;112.73;0,14 %
Mar 24, 2016;112.91;112.37;113.02;112.27;0,47 %
Mar 23, 2016;112.38;112.36;112.93;112.12;0,00 %
Mar 22, 2016;112.38;111.94;112.50;111.36;0,39 %
Mar 21, 2016;111.94;111.43;111.98;111.20;0,33 %
Mar 18, 2016;111.57;111.38;111.77;110.80;0,16 %
Mar 17, 2016;111.39;112.53;112.97;110.65;-1,07 %
Mar 16, 2016;112.59;113.14;113.83;112.31;-0,53 %
Mar 15, 2016;113.19;113.81;113.94;112.61;-0,56 %
Mar 14, 2016;113.83;113.82;114.02;113.48;0,02 %
Mar 11, 2016;113.81;113.18;113.92;112.76;0,55 %
Mar 10, 2016;113.19;113.34;114.45;112.61;-0,13 %
Mar 09, 2016;113.34;112.62;113.48;112.20;0,65 %
Mar 08, 2016;112.61;113.45;113.52;112.41;-0,76 %
Mar 07, 2016;113.47;113.78;114.09;113.20;-0,25 %
Mar 04, 2016;113.76;113.68;114.26;113.15;0,06 %
Mar 03, 2016;113.69;113.48;114.28;113.28;0,19 %
Mar 02, 2016;113.48;114.00;114.58;113.19;-0,46 %
Mar 01, 2016;114.01;112.67;114.21;112.14;1,17 %
Feb 29, 2016;112.69;113.84;114.01;112.62;-1,15 %
Feb 26, 2016;114.00;112.98;114.00;112.54;0,88 %
Feb 25, 2016;113.00;112.17;113.03;111.87;0,72 %
Feb 24, 2016;112.19;112.09;112.28;111.04;0,07 %
Feb 23, 2016;112.11;112.88;113.06;111.75;-0,72 %
Feb 22, 2016;112.92;112.61;113.39;112.34;0,31 %
Feb 19, 2016;112.57;113.23;113.40;112.28;-0,60 %
Feb 18, 2016;113.25;114.09;114.33;113.11;-0,75 %
Feb 17, 2016;114.11;114.06;114.52;113.35;0,03 %
Feb 16, 2016;114.08;114.57;114.89;113.57;-0,44 %
Feb 15, 2016;114.58;113.20;114.72;113.04;1,20 %
Feb 12, 2016;113.22;112.40;113.55;111.72;0,71 %
Feb 11, 2016;112.42;113.31;113.59;110.98;-0,81 %
Feb 10, 2016;113.34;115.12;115.28;113.12;-1,54 %
Feb 09, 2016;115.11;115.84;115.86;114.22;-0,63 %
Feb 08, 2016;115.84;116.88;117.53;115.17;-0,91 %
Feb 05, 2016;116.90;116.77;117.42;116.42;0,11 %
Feb 04, 2016;116.77;117.88;118.25;116.50;-0,98 %
Feb 03, 2016;117.92;119.94;120.06;117.03;-1,71 %
Feb 02, 2016;119.97;120.98;121.06;119.82;-0,83 %
Feb 01, 2016;120.98;121.10;121.48;120.66;-0,07 %
Jan 29, 2016;121.06;118.80;121.70;118.48;1,88 %
Jan 28, 2016;118.83;118.67;119.00;118.39;0,13 %
Jan 27, 2016;118.67;118.41;119.08;118.01;0,21 %
Jan 26, 2016;118.42;118.29;118.62;117.63;0,10 %
Jan 25, 2016;118.30;118.50;118.86;118.16;-0,40 %
Jan 22, 2016;118.78;117.70;118.89;117.52;0,92 %
Jan 21, 2016;117.70;116.92;117.83;116.45;0,65 %
Jan 20, 2016;116.94;117.61;117.69;115.96;-0,60 %
Jan 19, 2016;117.64;117.31;118.13;117.23;0,26 %
Jan 18, 2016;117.34;116.88;117.47;116.55;0,24 %
Jan 15, 2016;117.06;118.02;118.28;116.49;-0,84 %
Jan 14, 2016;118.05;117.66;118.28;117.27;0,31 %
Jan 13, 2016;117.69;117.64;118.39;117.61;0,04 %
Jan 12, 2016;117.64;117.73;118.08;117.20;-0,11 %
Jan 11, 2016;117.77;117.43;118.03;116.68;0,27 %
Jan 08, 2016;117.45;117.66;118.77;117.42;-0,20 %
Jan 07, 2016;117.68;118.46;118.77;117.30;-0,67 %
Jan 06, 2016;118.47;119.05;119.17;118.22;-0,50 %
Jan 05, 2016;119.06;119.41;119.71;118.77;-0,32 %
Jan 04, 2016;119.44;120.27;120.47;118.68;-0,74 %
Jan 01, 2016;120.33;120.27;120.33;120.27;0,01 %
Dec 31, 2015;120.32;120.49;120.60;119.98;-0,17 %
Dec 30, 2015;120.52;120.46;120.67;120.32;0,04 %
Dec 29, 2015;120.47;120.38;120.50;120.20;0,05 %
Dec 28, 2015;120.41;120.22;120.66;120.15;-0,01 %
Dec 25, 2015;120.42;120.46;120.48;120.02;-0,02 %
Dec 24, 2015;120.44;120.90;121.00;120.22;-0,41 %
Dec 23, 2015;120.93;121.06;121.14;120.78;-0,12 %
Dec 22, 2015;121.08;121.16;121.33;120.70;-0,09 %
Dec 21, 2015;121.19;121.21;121.55;120.83;-0,02 %
Dec 18, 2015;121.22;122.55;123.60;121.04;-1,09 %
Dec 17, 2015;122.56;122.19;122.88;122.17;0,28 %
Dec 16, 2015;122.22;121.65;122.42;121.41;0,44 %
Dec 15, 2015;121.68;121.02;121.82;120.55;0,54 %
Dec 14, 2015;121.03;120.96;121.36;120.32;0,14 %
Dec 11, 2015;120.86;121.58;122.22;120.57;-0,61 %
Dec 10, 2015;121.60;121.45;121.89;121.23;0,13 %
Dec 09, 2015;121.44;122.92;123.06;121.05;-1,20 %
Dec 08, 2015;122.92;123.36;123.42;122.69;-0,37 %
Dec 07, 2015;123.38;123.20;123.47;123.12;0,17 %
Dec 04, 2015;123.17;122.57;123.38;122.44;0,46 %
Dec 03, 2015;122.61;123.24;123.58;122.27;-0,52 %
Dec 02, 2015;123.25;122.87;123.67;122.80;0,31 %
Dec 01, 2015;122.87;123.08;123.29;122.62;-0,19 %
Nov 30, 2015;123.10;122.79;123.36;122.66;0,21 %
Nov 27, 2015;122.84;122.60;122.89;122.28;0,18 %
Nov 26, 2015;122.62;122.68;122.75;122.47;-0,08 %
Nov 25, 2015;122.72;122.51;122.95;122.23;0,16 %
Nov 24, 2015;122.53;122.83;122.97;122.29;-0,25 %
Nov 23, 2015;122.84;122.77;123.28;122.73;-0,06 %
Nov 20, 2015;122.91;122.85;123.07;122.70;0,04 %
Nov 19, 2015;122.86;123.62;123.64;122.60;-0,63 %
Nov 18, 2015;123.64;123.43;123.69;123.19;0,15 %
Nov 17, 2015;123.45;123.17;123.50;123.14;0,23 %
Nov 16, 2015;123.17;122.32;123.30;122.20;0,43 %
Nov 13, 2015;122.64;122.59;123.00;122.43;0,02 %
Nov 12, 2015;122.61;122.85;123.09;122.53;-0,19 %
Nov 11, 2015;122.84;123.16;123.25;122.73;-0,24 %
Nov 10, 2015;123.14;123.17;123.45;123.00;-0,04 %
Nov 09, 2015;123.19;123.14;123.61;122.95;0,02 %
Nov 06, 2015;123.16;121.74;123.29;121.60;1,16 %
Nov 05, 2015;121.75;121.56;122.01;121.35;0,16 %
Nov 04, 2015;121.56;121.06;121.73;120.98;0,41 %
Nov 03, 2015;121.06;120.73;121.23;120.57;0,26 %
Nov 02, 2015;120.75;120.63;120.81;120.24;0,11 %
Oct 30, 2015;120.62;121.12;121.47;120.26;-0,42 %
Oct 29, 2015;121.13;121.08;121.19;120.56;0,03 %
Oct 28, 2015;121.09;120.44;121.28;120.23;0,52 %
Oct 27, 2015;120.46;121.10;121.11;120.14;-0,52 %
Oct 26, 2015;121.09;121.41;121.53;120.59;-0,31 %
Oct 23, 2015;121.47;120.69;121.50;120.21;0,65 %
Oct 22, 2015;120.69;119.90;120.79;119.59;0,62 %
Oct 21, 2015;119.95;119.83;120.11;119.73;0,09 %
Oct 20, 2015;119.84;119.47;119.98;119.38;0,28 %
Oct 19, 2015;119.50;119.47;119.58;119.12;0,05 %
Oct 16, 2015;119.44;118.88;119.69;118.80;0,46 %
Oct 15, 2015;118.89;118.81;119.18;118.04;0,05 %
Oct 14, 2015;118.83;119.73;119.81;118.62;-0,77 %
Oct 13, 2015;119.75;120.04;120.08;119.53;-0,23 %
Oct 12, 2015;120.03;120.24;120.28;119.86;-0,21 %
Oct 09, 2015;120.28;119.93;120.38;119.82;0,28 %
Oct 08, 2015;119.94;120.00;120.12;119.60;-0,07 %
Oct 07, 2015;120.02;120.20;120.36;119.72;-0,19 %
Oct 06, 2015;120.25;120.46;120.58;120.08;-0,17 %
Oct 05, 2015;120.46;119.97;120.56;119.85;0,46 %
Oct 02, 2015;119.91;119.92;120.42;118.67;-0,03 %
Oct 01, 2015;119.94;119.85;120.30;119.48;0,07 %
Sep 30, 2015;119.86;119.72;120.38;119.54;0,11 %
Sep 29, 2015;119.73;119.91;120.17;119.22;-0,16 %
Sep 28, 2015;119.92;120.51;120.59;119.67;-0,55 %
Sep 25, 2015;120.58;120.06;121.26;119.99;0,42 %
Sep 24, 2015;120.08;120.25;120.41;119.21;-0,18 %
Sep 23, 2015;120.30;120.12;120.56;119.61;0,12 %
Sep 22, 2015;120.15;120.56;120.64;119.68;-0,33 %
Sep 21, 2015;120.55;119.79;120.67;119.71;0,46 %
Sep 18, 2015;120.00;119.98;120.30;119.03;0,00 %
Sep 17, 2015;120.00;120.54;121.02;119.77;-0,46 %
Sep 16, 2015;120.56;120.40;120.73;120.08;0,10 %
Sep 15, 2015;120.44;120.23;120.67;119.38;0,17 %
Sep 14, 2015;120.23;120.58;120.84;119.83;-0,29 %
Sep 11, 2015;120.58;120.60;120.99;120.34;-0,02 %
Sep 10, 2015;120.61;120.51;121.34;119.95;0,08 %
Sep 09, 2015;120.51;119.81;121.22;119.78;0,58 %
Sep 08, 2015;119.81;119.27;120.23;118.83;0,44 %
Sep 07, 2015;119.28;118.65;119.58;118.65;0,24 %
Sep 04, 2015;119.00;120.05;120.19;118.75;-0,90 %
Sep 03, 2015;120.08;120.32;120.70;119.62;-0,21 %
Sep 02, 2015;120.33;119.37;120.47;119.20;0,80 %
Sep 01, 2015;119.38;121.20;121.28;119.26;-1,52 %
