"txid","refid","time","type","aclass","asset","amount","fee","balance"
"LRADB4-6EQZX-DKCGXO","TXUH3C-EB26S-H7MDAO","2016-03-06 15:59:15","trade","currency","XETH",-518.8500000000,0.0000000000,28055.0011700000
"LHPF26-WGZZ7-QZ5CG5","TXUH3C-EB26S-H7MDAO","2016-03-06 15:59:15","trade","currency","XXBT",13.4651950000,0.0350100000,13.4301881100
"LRR4UE-4OQ5U-IOP7JH","TDS5BT-ETEHL-IPMSIR","2016-03-06 15:59:15","trade","currency","XETH",-61.0653048300,0.0000000000,27993.9358651700
"LLOBZP-N24MV-HYHLMX","TDS5BT-ETEHL-IPMSIR","2016-03-06 15:59:15","trade","currency","XXBT",1.5847050000,0.0041200000,15.0107731100
"LCNF65-577CS-XH7PAJ","TPBRN2-5YKQN-Y3N3OK","2016-03-06 15:59:15","trade","currency","XETH",-45.0000000000,0.0000000000,27948.9358651700
"LAGHJP-MFJBM-HZIZJP","TPBRN2-5YKQN-Y3N3OK","2016-03-06 15:59:15","trade","currency","XXBT",1.1677500000,0.0030360000,16.1754871100
"LZV5LQ-WHAUH-2GFVS3","T3CJP6-ZDRRH-GBEPOW","2016-03-06 15:59:15","trade","currency","XETH",-16.2272136100,0.0000000000,27932.7086515600
"LP5K74-QGOGX-NCOO64","T3CJP6-ZDRRH-GBEPOW","2016-03-06 15:59:15","trade","currency","XXBT",0.4203500000,0.0010930000,16.5947441100
"LFZ2YM-GKBNQ-GEMMER","TL35GH-UWREK-66V4K2","2016-03-06 15:59:15","trade","currency","XETH",-2.4926524700,0.0000000000,27930.2159990900
"L6KWNF-HHJSR-WEZGW7","TL35GH-UWREK-66V4K2","2016-03-06 15:59:15","trade","currency","XXBT",0.0645670000,0.0001680000,16.6591431100
"LRGQAG-AE4KC-T3KDCN","TRZMEP-AKXHX-Y63HZT","2016-03-06 15:59:24","trade","currency","XETH",-9.9613153100,0.0000000000,27920.2546837800
